	Marker - Bat Handle			Marker - Bat Hands			Marker - Bat COM			Marker - Bat Top Cap			Marker - Bat Bottom Cap			Virtual Marker - End of Bat			Virtual Marker - Center of Bat		
	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
Index	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series
25	-87.351936	383.728394	1220.153809	-187.612473	570.671387	1533.223877	-235.560928	666.904907	1696.381226	-301.244812	781.943359	1903.725098	-320.857666	711.214172	1933.274902	-311.051239	746.578796	1918.5	-199.201599	565.153625	1569.326904
26	-87.892487	383.684479	1219.704224	-188.142426	570.151794	1533.029053	-236.049988	666.15033	1696.353271	-301.698212	780.836609	1903.850464	-321.431854	710.076477	1933.30603	-311.565033	745.456543	1918.578247	-199.72876	564.570496	1569.141235
27	-88.438103	383.642303	1219.251099	-188.676147	569.635864	1532.829712	-236.540436	665.40155	1696.316528	-302.149719	779.742798	1903.963867	-322.001373	708.957458	1933.326294	-312.075562	744.350098	1918.645142	-200.256836	563.996216	1568.94812
28	-88.991119	383.600464	1218.793701	-189.212845	569.124268	1532.626099	-237.031464	664.658081	1696.271362	-302.598175	778.663635	1904.066284	-322.563446	707.859131	1933.334229	-312.580811	743.261414	1918.700195	-200.785965	563.430969	1568.746948
29	-89.55394	383.557678	1218.331299	-189.751984	568.617981	1532.418823	-237.522705	663.919617	1696.21814	-303.043365	777.600586	1904.159302	-323.116364	706.783081	1933.329102	-313.079865	742.191833	1918.744263	-201.31691	562.874756	1568.537842
30	-90.128777	383.513092	1217.862793	-190.293457	568.117676	1532.208984	-238.014709	663.186279	1696.157837	-303.485931	776.554749	1904.243896	-323.658936	705.730347	1933.310913	-313.572418	741.142578	1918.777344	-201.850601	562.32782	1568.320068
31	-90.717033	383.466095	1217.387939	-190.837372	567.623108	1531.997192	-238.508484	662.458801	1696.091431	-303.927307	775.527771	1904.322021	-324.19043	704.701599	1933.279907	-314.058868	740.114685	1918.801025	-202.387939	561.790405	1568.094482
32	-91.319237	383.415955	1216.907471	-191.384094	567.133484	1531.784302	-239.004349	661.736694	1696.019653	-304.36972	774.520874	1904.396362	-324.711456	703.69751	1933.237183	-314.540588	739.109192	1918.816772	-202.929916	561.262573	1567.862183
33	-91.935516	383.361664	1216.422485	-191.934006	566.647644	1531.570557	-239.501099	661.01825	1695.941284	-304.815979	773.534668	1904.469116	-325.223816	702.71875	1933.184448	-315.019897	738.126709	1918.826782	-203.477707	560.744202	1567.624634
34	-92.565521	383.302307	1215.93457	-192.487549	566.164856	1531.355225	-239.996429	660.300537	1695.85437	-305.268707	772.56842	1904.541626	-325.730072	701.764832	1933.123657	-315.49939	737.166626	1918.832642	-204.032455	560.234436	1567.383545
35	-93.208366	383.237061	1215.444946	-193.045227	565.684204	1531.137085	-240.488632	659.581604	1695.756714	-305.730103	771.620667	1904.614746	-326.23291	700.833252	1933.056641	-315.981506	736.226929	1918.835693	-204.594925	559.731995	1567.140259
36	-93.863007	383.165619	1214.954834	-193.607712	565.204712	1530.915161	-240.978088	658.861938	1695.648315	-306.201843	770.689514	1904.688354	-326.735168	699.920044	1932.984985	-316.468506	735.304749	1918.83667	-205.165756	559.235168	1566.895752
37	-94.528214	383.088226	1214.465576	-194.175766	564.725403	1530.688232	-241.466934	658.143921	1695.530396	-306.684662	769.772827	1904.761963	-327.239868	699.020813	1932.90979	-316.96228	734.39679	1918.835938	-205.745255	558.742493	1566.650757
38	-95.20285	383.005676	1213.977783	-194.750137	564.245544	1530.455566	-241.957687	657.430481	1695.405029	-307.178467	768.868774	1904.834473	-327.750519	698.132141	1932.831787	-317.464508	733.500427	1918.83313	-206.333679	558.253052	1566.405518
39	-95.885582	382.918579	1213.492065	-195.331619	563.765015	1530.216675	-242.452393	656.724243	1695.272827	-307.682587	767.976135	1904.904297	-328.270538	697.252014	1932.751099	-317.976563	732.614075	1918.827637	-206.931076	557.766357	1566.159912
40	-96.574097	382.827057	1213.008057	-195.921112	563.284485	1529.971558	-242.952621	656.0271	1695.134277	-308.195587	767.094116	1904.96936	-328.802551	696.379456	1932.667236	-318.499054	731.736816	1918.818237	-207.536575	557.281921	1565.913208
41	-97.265213	382.730865	1212.526123	-196.51947	562.805115	1529.720703	-243.459686	655.340027	1694.989502	-308.715179	766.222107	1905.027344	-329.348236	695.513855	1932.579956	-319.031708	730.867981	1918.803711	-208.148468	556.799438	1565.664917
42	-97.956039	382.629669	1212.047119	-197.127289	562.328491	1529.464844	-243.974884	654.662903	1694.838379	-309.238434	765.360046	1905.075317	-329.909149	694.654663	1932.488892	-319.573792	730.007324	1918.782104	-208.764923	556.318481	1565.414673
43	-98.645103	382.523224	1211.571899	-197.744843	561.856628	1529.205322	-244.499359	653.995361	1694.681396	-309.76239	764.508179	1905.111084	-330.486847	693.80188	1932.393555	-320.124634	729.155029	1918.752319	-209.384872	555.839111	1565.162109
44	-99.332863	382.41156	1211.101318	-198.37207	561.391296	1528.942749	-245.033813	653.336975	1694.519409	-310.284698	763.666748	1905.133301	-331.081787	692.955872	1932.293823	-320.683228	728.31134	1918.713501	-210.008041	555.36145	1564.907349
45	-100.021912	382.295105	1210.635498	-199.008698	560.933716	1528.677979	-245.5784	652.6875	1694.35376	-310.803558	762.835876	1905.141968	-331.692322	692.116821	1932.188477	-321.247925	727.476379	1918.665161	-210.634918	554.885742	1564.650269
46	-100.716377	382.174408	1210.174438	-199.653824	560.484558	1528.410889	-246.132599	652.046936	1694.185669	-311.317719	762.015137	1905.137817	-332.315308	691.284546	1932.076538	-321.816528	726.649841	1918.607178	-211.266449	554.412109	1564.390747
47	-101.420883	382.05014	1209.717163	-200.306	560.044067	1528.141357	-246.695557	651.414978	1694.015991	-311.82663	761.204102	1905.122559	-332.947571	690.45929	1931.95752	-322.387115	725.831665	1918.540039	-211.903992	553.940918	1564.12854
48	-102.139328	381.923004	1209.262207	-200.963577	559.612061	1527.869019	-247.266449	650.791626	1693.845093	-312.33078	760.402344	1905.0979	-333.586853	689.642212	1931.832153	-322.958832	725.022278	1918.465088	-212.549072	553.472656	1563.863647
